uniqid,ew,y,east,nw,south,age,female,occupation,form_educ,pmi,det_risk,sanct,tax_mor,fin_diff,resp_coop,wex
80000236,0,NA,0,1,0,59,0,4,2,1,4,3,7.4,2,1,2773.217285
80000237,0,NA,0,1,0,45,1,3,3,0,2,1,7.2,2,3,3132.918457
80000253,0,NA,0,1,0,25,1,4,2,1,2,3,9,2,2,3561.458496
80000254,0,NA,0,1,0,66,0,4,2,1,2,3,9,2,1,2130.974609
80000255,0,NA,0,1,0,29,1,3,2,1,2,2,10,2,2,3561.458496
80000259,0,NA,0,1,0,44,0,4,2,1,2,1,8,2,3,3600.038574
80000261,0,NA,0,1,0,36,1,4,3,0,3,1,7.4,3,3,3561.458496
80000262,0,NA,0,1,0,35,0,2,3,0,4,1,7,3,3,6574.85498
80000267,0,NA,0,1,0,33,1,4,3,0,3,2,6.8,3,3,3561.458496
80000275,0,NA,0,1,0,46,0,3,3,1,3,2,5.2,2,3,3440.42334
80000277,0,NA,0,1,0,32,0,3,3,0,3,2,9,3,3,6305.17334
80000278,0,NA,0,1,0,21,1,2,2,1,4,1,7,2,2,5543.787109
80000280,0,NA,0,1,0,35,0,3,3,1,4,2,8.4,3,3,6574.85498
80000285,0,NA,0,1,0,54,1,4,2,0,3,1,9,3,3,3774.026367
80000286,0,NA,0,1,0,57,0,2,1,1,2,1,8.6,2,3,2745.984375
80000288,0,NA,0,1,0,39,0,2,3,1,2,2,10,3,1,6574.85498
80000289,0,NA,0,1,0,47,0,4,2,1,3,3,10,2,3,3600.038574
80000290,0,NA,0,1,0,59,1,3,3,0,3,2,10,3,3,4090.987305
80000293,0,NA,0,1,0,57,1,4,2,0,3,1,6.4,3,2,4090.987305
80000294,0,NA,0,1,0,52,1,4,2,0,1,2,8.4,3,3,3895.439941
80000297,0,NA,0,1,0,59,0,3,2,0,3,1,5.8,3,2,2946.44873
80000299,0,NA,0,1,0,57,0,3,2,0,3,2,6.4,3,2,2946.44873
